query,category,intent,expected_answer_type
what are the symptoms of type 2 diabetes,health,informational,list
how does a credit score work,finance,informational,explanation
best programming languages to learn in 2024,tech,informational,list
what causes inflation,economics,informational,explanation
how to treat a sprained ankle at home,health,instructional,steps
what is the difference between machine learning and deep learning,tech,informational,comparison
how long does it take to learn Python,tech,informational,estimate
what are the health benefits of intermittent fasting,health,informational,list
how does compound interest work,finance,informational,explanation
best cities to live in the United States,lifestyle,informational,list
what is the FIRE movement,finance,informational,explanation
symptoms of vitamin D deficiency,health,informational,list
how to negotiate a salary,career,instructional,steps
what is quantum computing,tech,informational,explanation
how does the stock market work,finance,informational,explanation
what is the Mediterranean diet,health,informational,explanation
how to start investing with little money,finance,instructional,steps
what are the best programming languages for AI,tech,informational,list
explain blockchain technology,tech,informational,explanation
what is the difference between a Roth IRA and traditional IRA,finance,informational,comparison
how does photosynthesis work,science,informational,explanation
what are the causes of climate change,environment,informational,explanation
best practices for remote work productivity,career,informational,list
what is a 401k plan,finance,informational,explanation
how to improve credit score fast,finance,instructional,steps
what is DevOps,tech,informational,explanation
how does the immune system work,health,informational,explanation
what foods are high in protein,health,informational,list
how to write a cover letter,career,instructional,steps
what is the difference between SQL and NoSQL,tech,informational,comparison
how to lower blood pressure naturally,health,instructional,steps
what is the gig economy,economics,informational,explanation
best ways to learn a new language,education,informational,list
what is content marketing,marketing,informational,explanation
how does CRISPR gene editing work,science,informational,explanation
what are the best passive income ideas,finance,informational,list
how to start a podcast,marketing,instructional,steps
what is search engine optimization,marketing,informational,explanation
how does electric car battery work,tech,informational,explanation
what are the benefits of meditation,health,informational,list
how to create a budget,finance,instructional,steps
what is the difference between HTTP and HTTPS,tech,informational,comparison
how does a VPN work,tech,informational,explanation
best ways to reduce stress,health,informational,list
what is project management methodology,career,informational,explanation
how does the federal reserve work,economics,informational,explanation
what are the symptoms of anxiety disorder,health,informational,list
how to write a business plan,business,instructional,steps
what is the difference between affect and effect,education,informational,comparison
how to improve public speaking skills,career,instructional,steps
what is cloud computing,tech,informational,explanation
how does mortgage work,finance,informational,explanation
best exercises for weight loss,health,informational,list
what is UX design,tech,informational,explanation
how to save money on groceries,lifestyle,instructional,steps
what is the difference between type 1 and type 2 diabetes,health,informational,comparison
how does artificial intelligence work,tech,informational,explanation
what are the best productivity apps,tech,informational,list
how to start a side hustle,business,instructional,steps
what is the Pomodoro technique,career,informational,explanation
how does DNA testing work,science,informational,explanation
what are the causes of insomnia,health,informational,list
how to reduce carbon footprint,environment,instructional,steps
what is agile methodology,tech,informational,explanation
how does the human brain work,science,informational,explanation
what are the best foods for gut health,health,informational,list
how to write a resume with no experience,career,instructional,steps
what is the difference between a virus and bacteria,health,informational,comparison
how does inflation affect the economy,economics,informational,explanation
best ways to learn programming,education,informational,list
what is cryptocurrency mining,tech,informational,explanation
how to set SMART goals,career,instructional,steps
what are the benefits of exercise,health,informational,list
how does the electoral college work,politics,informational,explanation
what is supply chain management,business,informational,explanation
how to read a nutrition label,health,instructional,steps
what is the difference between socialism and capitalism,politics,informational,comparison
how does GPS work,tech,informational,explanation
best ways to improve sleep quality,health,informational,list
what is technical SEO,marketing,informational,explanation
how to build an emergency fund,finance,instructional,steps
what are the symptoms of depression,health,informational,list
how does a search engine work,tech,informational,explanation
what is the difference between a trademark and a patent,business,informational,comparison
how to improve your credit score,finance,instructional,steps
what is behavioral economics,economics,informational,explanation
best ways to stay motivated,career,informational,list
how does stem cell therapy work,science,informational,explanation
what is the difference between introvert and extrovert,psychology,informational,comparison
how to prepare for a job interview,career,instructional,steps
what are the best investment strategies for beginners,finance,informational,list
how does social media algorithm work,tech,informational,explanation
what is the difference between coaching and mentoring,career,informational,comparison
how to overcome procrastination,psychology,instructional,steps
what are the benefits of reading books,education,informational,list
how does a mutual fund work,finance,informational,explanation
what is the difference between manager and leader,career,informational,comparison
how to deal with imposter syndrome,psychology,instructional,steps
what are the best ways to network professionally,career,informational,list
what are the side effects of metformin,health,informational,list
how to lower cholesterol naturally,health,instructional,steps
what is the DASH diet,health,informational,explanation
symptoms of thyroid problems in women,health,informational,list
what causes high blood pressure,health,informational,explanation
how does the lymphatic system work,health,informational,explanation
what are the benefits of omega-3 fatty acids,health,informational,list
how to prevent type 2 diabetes,health,instructional,steps
what is the difference between HDL and LDL cholesterol,health,informational,comparison
symptoms of kidney disease,health,informational,list
how does the digestive system work,health,informational,explanation
what are the signs of a heart attack,health,informational,list
how does chemotherapy work,health,informational,explanation
what is the difference between Alzheimer and dementia,health,informational,comparison
best foods to eat for heart health,health,informational,list
how to boost immune system naturally,health,instructional,steps
what causes migraines,health,informational,explanation
how long does it take to see results from exercise,health,informational,estimate
what is rheumatoid arthritis,health,informational,explanation
how to manage chronic pain,health,instructional,steps
what are symptoms of iron deficiency,health,informational,list
how does insulin work in the body,health,informational,explanation
what is the difference between a cold and the flu,health,informational,comparison
what foods to avoid with high cholesterol,health,informational,list
how to improve gut microbiome,health,instructional,steps
what is PCOS and how to treat it,health,informational,explanation
symptoms of sleep apnea,health,informational,list
how does the respiratory system work,health,informational,explanation
what causes autoimmune diseases,health,informational,explanation
how to recover from a torn ACL,health,instructional,steps
what is the difference between Python and JavaScript,tech,informational,comparison
how does a neural network work,tech,informational,explanation
what is Kubernetes,tech,informational,explanation
how does public key cryptography work,tech,informational,explanation
what is the difference between REST and GraphQL,tech,informational,comparison
how does a compiler work,tech,informational,explanation
what is Docker and how does it work,tech,informational,explanation
best practices for API design,tech,informational,list
what is the difference between TCP and UDP,tech,informational,comparison
