original_index,text,word_count,syllable_count,syllables_per_word,flesch_reading_ease,flesch_kincaid_grade,gunning_fog,coleman_liau,ari,dale_chall
100700,Abstract,1,2,2.0,36.62,8.4,0.4,1.0,16.75,19.48
100701,The most recognizable symptoms of,5,10,2.0,32.56,9.96,10.0,11.92,8.39,10.2
100702,Tremors: Involuntary shaking,3,9,3.0,-50.01,20.98,14.53,22.67,20.89,14.31
100703,Gait changes: Shuffling steps with,5,7,1.4,83.32,2.88,2.0,11.92,9.33,16.52
100704,Muscles stay tense and tight,5,6,1.2,100.24,0.52,2.0,6.12,3.68,10.2
100705,Daily activities—such as washing,4,9,2.25,12.43,12.52,11.6,17.4,14.72,11.73
100706,Micrographia: Small,2,5,2.5,-6.69,14.69,20.8,18.7,21.96,11.63
100707,Cognitive decline typically starts subtly,5,12,2.4,-1.28,14.68,26.0,21.2,15.92,19.67
100708,Often unaffected by medications to,5,12,2.4,-1.28,14.68,18.0,13.08,9.33,10.2
100710,Bladder problems.,2,4,2.0,35.61,8.79,0.8,12.9,17.25,19.53
100711,This also is called orthostatic,5,9,1.8,49.48,7.6,10.0,9.6,6.5,10.2
100713,This can lead to motor,5,6,1.2,100.24,0.52,2.0,-0.84,-1.97,0.25
100714,About 2% of people taking,5,8,1.6,66.4,5.24,2.0,1.48,0.85,7.04
100715,New wet AMD therapies in,5,7,1.4,83.32,2.88,10.0,1.48,-0.09,10.2
100716,Gene therapy is a promising,5,9,1.8,49.48,7.6,18.0,4.96,2.74,13.36
100717,It is a one-time,4,5,1.25,97.03,0.72,1.6,-5.8,-4.12,7.78
100718,What if a single injection,5,8,1.6,66.4,5.24,10.0,3.8,1.79,7.04
100719,Luxa Biotechnology reported encouraging results,5,16,3.2,-68.96,24.12,26.0,28.16,21.58,19.67
100720,The PRIMA System offers hope,5,8,1.6,66.4,5.24,2.0,6.12,3.68,13.36
100721,Susvimo is the first implantable,5,9,1.8,49.48,7.6,10.0,10.76,7.45,10.2
100722,For healthcare system as a,5,7,1.4,83.32,2.88,2.0,3.8,1.79,10.2
100723,Using scaffolds,2,4,2.0,35.61,8.79,0.8,10.0,12.54,19.53
100724,AI algorithms analyze retinal images,5,14,2.8,-35.12,19.4,34.0,15.4,11.21,19.67
100725,A part of the immune,5,6,1.2,100.24,0.52,2.0,-3.16,-3.86,7.04
100726,Undoubtedly,1,4,4.0,-132.58,32.0,40.4,18.4,30.88,19.48
100727,2020 [10],2,2,1.0,120.21,-3.01,0.8,-13.2,-1.59,19.53
100728,Current Status,2,4,2.0,35.61,8.79,0.8,7.1,10.18,19.53
100732,This study developed a remote,5,9,1.8,49.48,7.6,10.0,7.28,4.62,10.2
100734,In this regard,3,4,1.333,90.99,1.31,1.2,-2.47,-1.09,9.05
100735,Among them,2,3,1.5,77.91,2.89,0.8,-4.5,0.77,0.1
100736,Bradford D,2,3,1.5,77.91,2.89,0.8,-4.5,0.77,19.53
100739,Amyotroph Lateral Scler Frontotemporal Degener,5,13,2.6,-18.2,17.04,26.0,27.0,20.63,19.67
100740,As of early 2026,4,5,1.25,97.03,0.72,1.6,-4.35,-4.12,7.78
100742,AI-Powered Screening and Early Diagnosis,5,10,2.0,32.56,9.96,10.0,18.88,14.98,13.36
100743,Robotic companions are emerging as,5,11,2.2,15.64,12.32,26.0,13.08,9.33,13.36
100744,Families are seeing greater emphasis,5,11,2.2,15.64,12.32,18.0,15.4,11.21,13.36
100745,Increased recognition of sensory needs,5,11,2.2,15.64,12.32,18.0,17.72,13.1,16.52
100747,Although this condition will not,5,8,1.6,66.4,5.24,10.0,10.76,7.45,10.2
100748,While you can't change,4,4,1.0,118.18,-2.23,1.6,2.9,2.94,0.2
100749,Aging is the primary risk,5,8,1.6,66.4,5.24,10.0,2.64,0.85,13.36
100750,Over time,2,3,1.5,77.91,2.89,0.8,-7.4,-1.59,0.1
100751,If a parent or sibling,5,7,1.4,83.32,2.88,2.0,-0.84,-1.97,7.04
100752,Family History: You are at,5,9,1.8,49.48,7.6,2.0,2.64,1.79,0.25
100753,Individuals with blue or green,5,9,1.8,49.48,7.6,10.0,8.44,5.56,7.04
100754,Smoking,1,2,2.0,36.62,8.4,0.4,-4.8,12.04,19.48
100755,High blood pressure,3,4,1.333,90.99,1.31,1.2,7.2,6.76,9.05
100756,Obesity – studies suggest that e a,6,11,1.833,45.65,8.38,9.07,5.37,0.41,14.46
100757,UV and Blue Light Exposure,5,7,1.4,83.32,2.88,10.0,3.8,1.79,10.2
100758,Dry macular degeneration is one,5,11,2.2,15.64,12.32,18.0,9.6,6.5,10.2
100759,Wet AMD often develops suddenly,5,10,2.0,32.56,9.96,18.0,9.6,6.5,13.36
100760,People whose dry macular degeneration,5,12,2.4,-1.28,14.68,18.0,16.56,12.16,10.2
100761,Severe AMD may lead to,5,6,1.2,100.24,0.52,2.0,-0.84,-1.97,10.2
100762,The Amsler grid is a,5,6,1.2,100.24,0.52,2.0,-3.16,-3.86,10.2
100764,Over time,2,3,1.5,77.91,2.89,0.8,-7.4,-1.59,0.1
100765,Airway remodeling – Permanent thickening and,5,13,2.6,-18.2,17.04,26.0,22.36,11.68,16.52
100767,These changes may make it,5,6,1.2,100.24,0.52,2.0,2.64,0.85,7.04
100768,However,1,3,3.0,-47.98,20.2,0.4,-4.8,12.04,0.05
100769,If your preventer is a,5,6,1.2,100.24,0.52,2.0,-0.84,-1.97,7.04
100771,This can make breathing difficult,5,8,1.6,66.4,5.24,10.0,11.92,8.39,10.2
100772,Persistent coughing – Especially at night,5,10,2.0,32.56,9.96,18.0,18.88,9.33,13.36
100773,Consider the rule of twos,5,7,1.4,83.32,2.88,10.0,2.64,0.85,10.2
100774,Typically,1,3,3.0,-47.98,20.2,40.4,6.8,21.46,19.48
100775,Symptoms of the disease can,5,7,1.4,83.32,2.88,2.0,4.96,2.74,10.2
100776,Read about speech problems,4,6,1.5,75.88,3.67,1.6,10.15,7.65,7.78
100777,Vision problems,2,4,2.0,35.61,8.79,0.8,10.0,12.54,19.53
100778,MS can make walking and,5,6,1.2,100.24,0.52,2.0,0.32,-1.03,10.2
100779,Visible MS symptoms,3,6,2.0,34.59,9.18,14.53,7.2,6.76,19.58
100780,Symptoms of MS,3,4,1.333,90.99,1.31,1.2,-2.47,-1.09,14.31
100783,A lot of people with,5,6,1.2,100.24,0.52,2.0,-3.16,-3.86,0.25
100785,Bladder and Bowel Issues,4,7,1.75,54.73,6.62,1.6,7.25,5.3,15.68
100787,Women with MS may experience,5,9,1.8,49.48,7.6,10.0,6.12,3.68,10.2
100788,Vision loss in one eye,5,6,1.2,100.24,0.52,2.0,-0.84,-1.97,7.04
100789,Many people with MS experience,5,10,2.0,32.56,9.96,10.0,8.44,5.56,10.2
100790,When the nerves are damaged,5,6,1.2,100.24,0.52,2.0,4.96,2.74,10.2
100791,Originally Published 19 February 2026,5,13,2.6,-18.2,17.04,10.0,16.56,12.16,16.52
100792,A new clinical classification scheme,5,11,2.2,15.64,12.32,18.0,15.4,11.21,13.36
100793,A new clinical classification scheme,5,11,2.2,15.64,12.32,18.0,15.4,11.21,13.36
100794,Privacy Policy·Terms & Conditions,3,8,2.667,-21.81,17.05,27.87,28.47,15.4,19.58
100795,The message is clear: therapeutic,5,9,1.8,49.48,7.6,10.0,10.76,8.39,7.04
100798,PE response teams (PERTs) are,5,6,1.2,100.24,0.52,2.0,4.96,4.62,16.52
100799,Patients who have had acute,5,7,1.4,83.32,2.88,2.0,4.96,2.74,10.2
100801,— Mayo Clinic researchers have developed,5,11,2.2,15.64,12.32,18.0,17.72,8.54,16.52
100802,Current treatments can slow disease,5,8,1.6,66.4,5.24,2.0,14.24,10.27,13.36
100803,They found organoids with two,5,6,1.2,100.24,0.52,2.0,7.28,4.62,7.04
100804,Researchers at UC Santa Barbara,5,10,2.0,32.56,9.96,18.0,9.6,6.5,16.52
100805,They found that the administered,5,8,1.6,66.4,5.24,10.0,10.76,7.45,7.04
100806,The researchers first engineered the,5,9,1.8,49.48,7.6,18.0,15.4,11.21,10.2
