category,total_citations,unique_queries,unique_domains,avg_sentence_words,fragment_coverage
finance,15496,200,3688,0.46,4.9
tech,15348,200,3456,0.25,2.76
career,14319,200,4393,0.17,1.89
fitness,13857,200,3139,0.09,1.0
health,13537,200,2915,0.42,4.6
travel,4786,199,1943,1.39,15.02
legal,4539,197,2314,1.47,15.44
environment,4463,198,1989,1.57,17.19
ecommerce,4439,200,1808,1.47,15.77
education,4283,200,1766,1.13,11.91
marketing,4198,199,2023,0.94,10.05
science,4046,197,1508,1.02,11.3
real_estate,4045,198,1906,1.09,11.5
law_firm_marketing,3993,200,1467,1.4,14.95
geo_strategy,3955,200,1739,1.21,13.25
lifestyle,3938,197,1821,0.65,7.08
business,3899,196,1932,0.82,8.72
economics,3880,192,1627,1.19,12.81
parenting,3867,191,1635,0.63,6.7
psychology,3831,193,1413,0.41,4.33
saas,3827,199,1767,0.74,8.07
politics,3789,193,1546,1.51,16.36
food,3789,197,1521,0.37,4.25
ai_research,3706,200,1279,0.65,7.2
history,3595,200,1161,0.95,10.38
